frame_id,png_path,frame_host_iso,h,w,log_host_iso,log_stm32_ts_us,log_text_utf8,host_dt_diff_ms,log_text_hex
230,C:\Users\28693\Desktop\udp\frames_png\frame_000230.png,48:13.5,120,188,,,,,
231,C:\Users\28693\Desktop\udp\frames_png\frame_000231.png,48:13.6,120,188,,,,,
232,C:\Users\28693\Desktop\udp\frames_png\frame_000232.png,48:13.6,120,188,,,,,
233,C:\Users\28693\Desktop\udp\frames_png\frame_000233.png,48:13.7,120,188,,,,,
234,C:\Users\28693\Desktop\udp\frames_png\frame_000234.png,48:13.7,120,188,,,,,
235,C:\Users\28693\Desktop\udp\frames_png\frame_000235.png,48:13.7,120,188,,,,,
236,C:\Users\28693\Desktop\udp\frames_png\frame_000236.png,48:13.8,120,188,,,,,
237,C:\Users\28693\Desktop\udp\frames_png\frame_000237.png,48:13.8,120,188,,,,,
238,C:\Users\28693\Desktop\udp\frames_png\frame_000238.png,48:13.9,120,188,,,,,
239,C:\Users\28693\Desktop\udp\frames_png\frame_000239.png,48:13.9,120,188,,,,,
240,C:\Users\28693\Desktop\udp\frames_png\frame_000240.png,48:13.9,120,188,,,,,
241,C:\Users\28693\Desktop\udp\frames_png\frame_000241.png,48:14.0,120,188,,,,,
242,C:\Users\28693\Desktop\udp\frames_png\frame_000242.png,48:14.0,120,188,,,,,
243,C:\Users\28693\Desktop\udp\frames_png\frame_000243.png,48:14.1,120,188,,,,,
244,C:\Users\28693\Desktop\udp\frames_png\frame_000244.png,48:14.1,120,188,,,,,
245,C:\Users\28693\Desktop\udp\frames_png\frame_000245.png,48:14.1,120,188,,,,,
246,C:\Users\28693\Desktop\udp\frames_png\frame_000246.png,48:14.1,120,188,,,,,
247,C:\Users\28693\Desktop\udp\frames_png\frame_000247.png,48:14.2,120,188,,,,,
248,C:\Users\28693\Desktop\udp\frames_png\frame_000248.png,48:14.3,120,188,,,,,
249,C:\Users\28693\Desktop\udp\frames_png\frame_000249.png,48:14.3,120,188,,,,,
250,C:\Users\28693\Desktop\udp\frames_png\frame_000250.png,48:14.3,120,188,,,,,
251,C:\Users\28693\Desktop\udp\frames_png\frame_000251.png,48:14.3,120,188,,,,,
252,C:\Users\28693\Desktop\udp\frames_png\frame_000252.png,48:14.3,120,188,,,,,
253,C:\Users\28693\Desktop\udp\frames_png\frame_000253.png,48:14.4,120,188,,,,,
254,C:\Users\28693\Desktop\udp\frames_png\frame_000254.png,48:14.5,120,188,,,,,
255,C:\Users\28693\Desktop\udp\frames_png\frame_000255.png,48:14.5,120,188,,,,,
256,C:\Users\28693\Desktop\udp\frames_png\frame_000256.png,48:14.5,120,188,,,,,
257,C:\Users\28693\Desktop\udp\frames_png\frame_000257.png,48:14.5,120,188,,,,,
258,C:\Users\28693\Desktop\udp\frames_png\frame_000258.png,48:14.6,120,188,,,,,
259,C:\Users\28693\Desktop\udp\frames_png\frame_000259.png,48:14.6,120,188,,,,,
260,C:\Users\28693\Desktop\udp\frames_png\frame_000260.png,48:14.7,120,188,,,,,
261,C:\Users\28693\Desktop\udp\frames_png\frame_000261.png,48:14.7,120,188,,,,,
262,C:\Users\28693\Desktop\udp\frames_png\frame_000262.png,48:14.8,120,188,,,,,
263,C:\Users\28693\Desktop\udp\frames_png\frame_000263.png,48:14.8,120,188,,,,,
264,C:\Users\28693\Desktop\udp\frames_png\frame_000264.png,48:14.8,120,188,,,,,
265,C:\Users\28693\Desktop\udp\frames_png\frame_000265.png,48:14.9,120,188,,,,,
266,C:\Users\28693\Desktop\udp\frames_png\frame_000266.png,48:14.9,120,188,,,,,
267,C:\Users\28693\Desktop\udp\frames_png\frame_000267.png,48:14.9,120,188,,,,,
268,C:\Users\28693\Desktop\udp\frames_png\frame_000268.png,48:15.0,120,188,,,,,
269,C:\Users\28693\Desktop\udp\frames_png\frame_000269.png,48:15.0,120,188,,,,,
270,C:\Users\28693\Desktop\udp\frames_png\frame_000270.png,48:15.0,120,188,,,,,
